player,transfermarkt_id,transfermarkt_name,tm_market_value
Obite Evan Ndicka,371149,Evan Ndicka,35000000.0
Evann Ludovic Vidjannagni Guessand,500689,Evann Guessand,25000000.0
Alban-Marc Lafont,357117,Alban Lafont,3000000.0
Bazoumana Toure,1067904,Bazoumana Touré,40000000.0
Parfait Guiagon,624913,Parfait Guiagon,5000000.0
Christ Ravynel Inao Oulai,1279526,Christ Inao Oulaï,23000000.0
Hernán Ismael Galindez,77127,Hernán Galíndez,300000.0
Félix Eduardo Torres,468174,Félix Torres,1000000.0
Piero Martin Hincapie,659813,Piero Hincapié,50000000.0
Joel Leandro Ordonez,893661,Joel Ordóñez,33000000.0
Jordy Jose Alcivar,598145,Jordy Alcívar,2000000.0
Willian Joel Pacho,661171,Willian Pacho,80000000.0
Pervis Josue Estupinan,349599,Pervis Estupiñán,12000000.0
Anthony Lenin Valencia,974374,Anthony Valencia,1800000.0
John Yeboah,439914,John Yeboah,5500000.0
Ray Kendry Paez,1052439,Kendry Páez,8000000.0
Kevin Jose Rodriguez,684159,Kevin Rodríguez,6000000.0
Wellington Moisés Ramirez,450233,Moisés Ramírez,800000.0
Enner Remberto Valencia,139503,Enner Valencia,1000000.0
Alan Steve Minda,897051,Alan Minda,3000000.0
Pedro Jeampierre Vite,659806,Pedro Vite,6000000.0
Jordy Josue Caicedo,360412,Jordy Caicedo,2000000.0
Ángelo Smit Preciado,450241,Angelo Preciado,3500000.0
Denil Daniel Castillo,941418,Denil Castillo,7000000.0
Gonzalo Jordy Plata,592735,Gonzalo Plata,9000000.0
Nilson David Angulo,903611,Nilson Angulo,17000000.0
Alan Steven Franco,400960,Alan Franco,4500000.0
Gonzalo Roberto Valle,351941,Gonzalo Valle,1800000.0
Moisés Isaac Caicedo,687626,Moisés Caicedo,100000000.0
Jeremy Alberto Arevalo,971663,Jeremy Arévalo,7000000.0
Jackson Gabriel Porozo,491616,Jackson Porozo,2500000.0
Yaimar Abel Medina,893659,Yaimar Medina,4000000.0
Bart Verbruggen,565093,Bart Verbruggen,40000000.0
Lutsharel Emiliano Geertruida,420210,Lutsharel Geertruida,20000000.0
Marten Elco De Roon,133179,Marten de Roon,3200000.0
Virgil Van Dijk,139208,Virgil van Dijk,15000000.0
Nathan Benjamin Ake,177476,Nathan Aké,12000000.0
Justin Dean Kluivert,330659,Justin Kluivert,25000000.0
Ryan Jiro Gravenberch,478573,Ryan Gravenberch,80000000.0
Wout François Maria Weghorst,228645,Wout Weghorst,2000000.0
Memphis Depay,167850,Memphis Depay,7000000.0
Cody Mathès Gakpo,434675,Cody Gakpo,60000000.0
Tijjani Martinus Jan Reijnders,460939,Tijjani Reijnders,50000000.0
Micky Van De Ven,557459,Micky van de Ven,50000000.0
Guus Berend Til,372267,Guus Til,15000000.0
Noa Noëll Lang,339332,Noa Lang,22000000.0
Donyell Malen,326029,Donyell Malen,45000000.0
Brian Ebenezer Adjei Brobbey,473169,Brian Brobbey,30000000.0
Teun Koopmeiners,360518,Teun Koopmeiners,14000000.0
Frenkie De Jong,326330,Frenkie de Jong,35000000.0
Denzel Justus Morris Dumfries,321528,Denzel Dumfries,25000000.0
Mark Maria Hubertus Flekken,125714,Mark Flekken,6000000.0
Jorrel Evan Hato,904802,Jorrel Hato,40000000.0
Quinten Ryan Crispito Timber,420213,Quinten Timber,25000000.0
Zion Suzuki,432298,Zion Suzuki,20000000.0
Yukinari Sugawara,405385,Yukinari Sugawara,5500000.0
Shogo Taniguchi,307870,Shogo Taniguchi,750000.0
Yuto Nagatomo,79522,Yuto Nagatomo,100000.0
Shuto Machino,550580,Shuto Machino,4000000.0
Ao Tanaka,489359,Ao Tanaka,13000000.0
Takefusa Kubo,405398,Takefusa Kubo,20000000.0
