feature,catboost,lightgbm,xgboost,mean,catboost_shap
home_days_since_prev_match,0.006268149282812245,0.005271631818743122,0.004321842949242514,0.005287208016932627,0.0030480466075201613
away_days_since_prev_match,0.004414336153254768,0.005133986940315617,0.005836156656787425,0.005128159916785936,0.003883091790551719
away_goals_scored_10,0.004309660823174475,0.0033804053261185536,0.007242242272957281,0.004977436140750103,0.0041952329067236616
goal_diff_diff_5,0.004160748938430169,0.004910116358449167,0.005753920928609345,0.004941595408496227,0.004931101393209814
home_avg_goals_conceded_3,0.0021180224320951975,0.0011819406456243635,0.01136612092826403,0.0048886946686611974,0.001764175274449375
goals_scored_diff_10,0.005753729905182554,0.004156656951583866,0.004748936915589566,0.0048864412574519955,0.006484487296647858
away_avg_opp_elo_3,0.004989652175328923,0.0050129634051092305,0.004432503411892334,0.004811706330776829,0.005084579425554143
goals_conceded_diff_3,0.004906537832338849,0.0031837646695655254,0.006318069469779073,0.004802790657227816,0.003745236120944464
home_avg_opp_elo_5,0.005277126461968625,0.004557181412155056,0.004197812897220832,0.004677373590448171,0.003948563097566876
away_avg_goal_diff_5,0.004156409906741132,0.0015400337424379754,0.008299961805630392,0.0046654684849365,0.004900517903890133
away_avg_goals_scored_10,0.006858122135121183,0.0017086592947779455,0.005306028000121106,0.004624269810006745,0.0059883113340169734
away_rest_days,0.006028488122587515,0.0001926130731872073,0.007022586517608416,0.004414562571127712,0.0057906243342019095
ppg_diff_10,0.003660275443282779,0.0035183308014938037,0.005825868303063502,0.004334824849280028,0.0031560584783985857
away_home5_avg_goals_scored,0.004816543168620182,0.0036382736188516913,0.004012830117068222,0.004155882301513365,0.0025596287350183973
home_avg_goals_conceded_5,0.004628774313605894,0.0018794842598240215,0.0059518056682924605,0.004153354747240792,0.006301593442196061
home_rest_days,0.005389525299557745,0.00015830900363899043,0.006910759093515041,0.0041528644655705925,0.0035683040658341515
home_avg_goals_scored_10,0.005288493962433979,0.0014553591353767654,0.005566464259806369,0.004103439119205705,0.00525563914844612
away_goal_diff_3,0.004993599690619706,0.0025175604904645143,0.004647437622346438,0.004052865934476887,0.006075312422559935
days_since_prev_match_diff,0.00473109647967721,7.32785323850007e-05,0.0071554853771583025,0.003986620129740171,0.002659850602969259
losses_diff_10,0.005378310867680709,0.002097741145476057,0.0044252222089185686,0.0039670914073584446,0.0051847519661674234
away_avg_goals_conceded_3,0.0022219821520526074,0.001341425820437453,0.008024716024600307,0.0038627079990301225,0.0030732086173406834
away_avg_goals_conceded_5,0.004507773368913033,0.0015949806211593373,0.005420805892559628,0.0038411866275439993,0.00436795838443834
home_clean_sheets_10,0.003813579108048506,0.0019186561907250693,0.005752822085494621,0.003828352461422732,0.008972187989952309
away_home5_win_pct,0.00536332894253022,0.0013233666756027507,0.004644558255614598,0.0037770846245825233,0.005609163073518813
goals_scored_diff_5,0.004492092545800976,0.002098433617328146,0.0042849059097372555,0.003625144024288792,0.003472530816483228
